     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
10                  5131583360998                  104068138094   

    Quỹ đầu tư và phát triển (Tỷ đồng)  Cổ phiếu phổ thông (Tỷ đồng)  \
0                          26037074376                 1270000000000   
1                          16538753350                 1270000000000   
2                          12620203451                 1270000000000   
3                          22465690203                 1270000000000   
4                          19526405695                 1270000000000   
5                          11893072277                 1270000000000   
6                         117217827442                 1270000000000   
7                          49529492595                 1270000000000   
8                         175202645418                  806829390404   
9                         148838158567                  808602390404   
10                        106315647593                  809321803670   

    Vốn góp của chủ sở hữu (Tỷ đồng)  Vốn và các quỹ (Tỷ đồng)  \
0                      1270000000000             1591782763670   
1                      1270000000000             1629711037495   
2                      1270000000000             1593358725355   
3                      1270000000000             1499511744385   
4                      1270000000000             1445218617042   
5                      1270000000000             1412056307661   
6                      1270000000000             2046481994892   
7                      1270000000000             1678974186137   
8                       806829390404             1661011052329   
9                       808602390404             1586144733091   
10                      809321803670             1168801906776   

    VỐN CHỦ SỞ HỮU (Tỷ đồng)  Vay và nợ thuê tài chính dài hạn (Tỷ đồng)  \
0              1591782763670                                   847910008   
1              1629711037495                                   990333342   
2              1593358725355                                   864073987   
3              1499511744385                                   932642857   
4              1445218617042                                 45296032113   
5              1412056307661                                  5000000000   
6              2046481994892                                909760479303   
7              1678974186137                               1082611905149   
8              1661011052329                               1243167780934   
9              1586144733091                               1211918298948   
10             1169662554413                               1282646139029   

    Nợ dài hạn (Tỷ đồng)  Người mua trả tiền trước ngắn hạn (Tỷ đồng)  \
0            65618580428                                 103413438033   
1            65541952440                                 104147951649   
2            75094822667                                 109234263776   
3            74410909594                                 133801642730   
4           120805573030                                 127251748206   
5            78770606206                                 138754641328   
6          1035434209319                                 114254654215   
7          1250090008685                                  52947876205   
8          1353609193691                                  10571230537   
9          1298542253534                                  58455860263   
10         1391918077712                                  49829410672   

    Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng)  Nợ ngắn hạn (Tỷ đồng)  \
0                                  756914532889          1078153353326   
1                                  680232174464          1019192638465   
2                                  722616766297          1096385413809   
3                                 1008460702851          1531763583884   
4                                 1320052613809          1908785562329   
5                                 1290080155577          1876929524537   
6                                 1503588106082          2275623981776   
7                                 1498511677893          2252239066144   
8                                 1435908322520          2094210393181   
9                                 1390183178672          2514316509986   
10                                1290758605582          2273301849868   

    NỢ PHẢI TRẢ (Tỷ đồng)  TỔNG CỘNG TÀI SẢN (Tỷ đồng)  \
0           1143771933754                2735554697424   
1           1084734590905                2714445628400   
2           1171480236476                2764838961831   
3           1606174493478                3105686237863   
4           2029591135359                3474809752401   
5           1955700130743                3367756438404   
6           3311058191095                5357540185987   
7           3502329074829                5181303260966   
8           3447819586872                5108830639201   
9           3812858763520                5399003496611   
10          3665219927580                5131583360998   

    Lợi thế thương mại (Tỷ đồng)  Trả trước dài hạn (Tỷ đồng)  \
0                    29157861990                  63461712864   
1                    35405975273                  64985019163   
2                    41654088556                  65040942873   
3                    47902201838                  64947127802   
4                    56233019550                  63097249499   
5                              0                  63344348418   
6                     5719545000                  71183085657   
7                     9532575000                  75366888695   
8                    15317226901                 150699657110   
9                    11251655589                 175695833289   
10                   14822052897                 196348517840   

    Tài sản dài hạn khác (Tỷ đồng)  Đầu tư dài hạn (Tỷ đồng)  \
0                      62093799634             1006089085498   
1                      65123799634             1026044786859   
2                      65123799634             1099275691668   
3                      80003502704             1135753331086   
4                      82079881158             1108531924063   
5                      63254881158              866626593781   
6                      85313461078              402270518442   
7                      87091610977              289438674092   
8                      96512279939              400454336215   
9                      96429655603              383444799184   
10                     50781616361              329903920051   

    Tài sản cố định (Tỷ đồng)  Phải thu dài hạn khác (Tỷ đồng)  \
0                254641953147                      33043138916   
1                288864169505                      32670520687   
2                327860106376                      32282353227   
3                375422474139                      32320866935   
4                413843539721                      32949089566   
5                 97900285863                      42174660138   
6               2084444503118                      43664522942   
7               2264928438352                      42490570663   
8               2320633666283                      30045580617   
9               2441104188954                      21828276672   
10              2646726065950                                0   

    Phải thu dài hạn (Tỷ đồng)  
0                  33043138916  
1                  32670520687  
2                  32282353227  
3                  32320866935  
4                  32949089566  
5                  46227638074  
6                  48599547850  
7                  49920534944  
8                  30259865353  
9                  21828276672  
10                           0  
     CP   Năm  Cổ đông thiểu số  Cổ đông thiểu số  Cổ đông thiểu số  \
0   FIC  2023                 0        -331748494                 0   
1   FIC  2022                 0       16145904766                 0   
2   FIC  2021                 0        -843184252                 0   
3   FIC  2020                 0        6353985833                 0   
4   FIC  2019                 0       11448643160                 0   
5   FIC  2018                 0       85468210296                 0   
6   FIC  2017                 0      101779799129                 0   
