    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
3                         74000000                                      0   
4                         78575000                                      0   
5                                0                               78575000   
6                                0                                      0   
7                                0                                      0   
8                                0                                      0   
9                                0                                      0   

   Phải thu dài hạn (Tỷ đồng)  
0                100000000000  
1                           0  
2                           0  
3                    74000000  
4                    78575000  
5                    78575000  
6                           0  
7                           0  
8                           0  
9                           0  
    CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0  DTI  2023               117153731                   0.853312   
1  DTI  2022              8662320258                   1.913446   
2  DTI  2021              7765557559                   7.562212   
3  DTI  2020                71459701                  -0.102819   
4  DTI  2019              1291659671                   0.094712   
5  DTI  2018              1370583316                  -0.627217   
6  DTI  2017              1024396562                  -0.151611   
7  DTI  2016              4371211216                   2.921324   
8  DTI  2015                46550324                  -0.055765   
9  DTI  2014                       0                   0.000000   

   Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0         314165654366                                           58155503     
1         169515779386                                         6926300312     
2          58183948380                                         6212446047     
3           6795434273                                           39858175     
4           7574205198                                         1097060672     
5           6918901014                                         1185664019     
6          18560135314                                           80735933     
7          21876906911                                         3577963205     
8           5578958723                                           46550324     
9           5908443629                                           29550152     

   Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                  -0.991604         12089664612         12089664612   
1                   0.114907          4247354953          4247354953   
2                 154.863786           191720112           191720112   
3                  -0.963668             4184010             4184010   
4                  -0.074729              899117              899117   
5                  13.685704             5580675             5580675   
6                  -0.977435              906112              906112   
7                  75.862262             3183004             3183004   
8                   0.575299             1203763             1203763   
9                   0.000000              969280              969280   

   Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0          -12700104609          -12700104609     314165654366   
1           -2087674860           -2087674860     169515779386   
2                     0                     0      58183948380   
3                     0                     0       6795434273   
4                     0                     0       7574205198   
5                     0                     0       6918901014   
6                     0                     0      18560135314   
7             -60277000             -60277000      21876906911   
8            -204299000            -204299000       5578958723   
9            -180886221            -180886221       5908443629   

   Doanh thu thuần     Lãi gộp     Lãi gộp  Chi phí tài chính  \
0     314165654366  4661876134  4661876134       -15547911193   
1     169515779386  8194106832  8194106832        -2775790727   
2      58183948380  8209432461  8209432461           -1288767   
3       6795434273  4778267452  4778267452                  0   
4       7574205198  5563763208  5563763208          -97570055   
5       6918901014  4909910143  4909910143                  0   
6      18560135314  4389413836  4389413836                  0   
7      21876906911  6485984405  6485984405          -60277000   
8       5578958723  3618020837  3618020837         -204299000   
9       5908443629  5908443629  5908443629         -180886221   

   Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0       -15547911193          -725294782          -725294782   
1        -2775790727          -842079940          -842079940   
2           -1288767          -634306247          -634306247   
3                  0         -4765241761         -4765241761   
4          -97570055         -4152874311         -4152874311   
5                  0         -3544907502         -3544907502   
6                  0         -2957869829         -2957869829   
7          -60277000         -2336028967         -2336028967   
8         -204299000         -3512389659         -3512389659   
9         -180886221         -5660013127         -5660013127   

   Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                       478334771                       478334771   
1                      8680099729                      8680099729   
2                      7765557559                      7765557559   
3                        17209701                        17209701   
4                      1314217959                      1314217959   
5                      1370583316                      1370583316   
6                      1432450119                      1432450119   
7                      4092861442                      4092861442   
8                       -97464059                       -97464059   
9                        68513561                        68513561   

   Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0            -2199514144     -309503778232                 0   
1              -17779471     -161321672554        -143491389   
2                      0      -49974515919                 0   
3                      0       -2017166821                 0   
4              -22558288       -2010441990                 0   
5                      0       -2008990871                 0   
6             -408053557      -14170721478                 0   
7                      0      -15390922506                 0   
8                      0       -1960937886                 0   
9             -256990632                 0                 0   

   Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  Thu nhập khác  \
0                 0                            314165654366     1838333104   
1        -143491389                            169515779386              0   
2                 0                             58183948380              0   
3                 0                              6795434273       54250000   
4                 0                              7574205198              0   
5                 0                              6918901014              0   
6                 0                             18560135314              0   
7                 0                             21876906911      278349774   
8                 0                              5578958723      144014383   
9                 0                              5908443629      218027223   

   Lợi nhuận khác  LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  \
0      -361181040      117153731   -58998228                    -58998228   
1       -17779471     8662320258 -1736019946                  -1736019946   
2               0     7765557559 -1553111512                  -1553111512   
3        54250000       71459701   -31601526                    -31601526   
4       -22558288     1291659671  -194598999                   -194598999   
5               0     1370583316  -184919297                   -184919297   
6      -408053557     1024396562  -943660629                   -943660629   
7       278349774     4371211216  -793248011                   -793248011   
8       144014383       46550324           0                            0   
9       -38963409       29550152           0                            0   

   Lợi nhuận thuần  Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0         58155503                58155503                         5  
1       6926300312              6926300312                       572  
2       6212446047              6212446047                       538  
3         39858175                39858175                         3  
4       1097060672              1097060672                        95  
5       1185664019              1185664019                       107  
6         80735933                80735933                         7  
7       3577963205              3577963205                      2230  
8         46550324                46550324                         0  
9         29550152                29550152                         0  
    CP   Năm  Tiền và tương đương tiền  Lãi/Lỗ từ hoạt động đầu tư  \
0  DTI  2023                1110943077                -12089664612   
1  DTI  2022                9695010189                  -172915598   
2  DTI  2021                 143916576                    -1512513   
3  DTI  2020                 241220991                    -1650105   
4  DTI  2019                 433076898                     -899117   
5  DTI  2018                 566452833                    -5580675   
6  DTI  2017                 980341560                     -906112   
7  DTI  2016                2923635896                  -121474205   
8  DTI  2015                 397727129                   -11876490   
9  DTI  2014                 243857767                           0   

   Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0   12700104609                   13827185559                   13827185559   
1    2564387189                  -78359445015                  -78359445015   
2       1288767                 -101688479002                 -101688479002   
3             0                   -4587340911                   -4587340911   
4             0                   -2765855100                   -2765855100   
5             0                    1032783285                    1032783285   
6             0                   -2829889014                   -2829889014   
7      60277000                   -4178836935                   -4178836935   
8     204299000                   -2023969867                   -2023969867   
9             0                             0                             0   

   Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0             26931011818                   -3777764136   
1            -30170048573                   20105121788   
2                       0                   40413174043   
3                       0                    2560220919   
4                  890588                      61048924   
5                 3504614                   -3563696945   
6                       0                    1880520707   
7               113581985                    1689263345   
8                       0                     262750238   
9                       0                             0   

   Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                   -3777764136                   2291079514   
1                   20105121788                  -2668260873   
2                   40413174043                    -61048885   
3                    2560220919                    594890386   
4                      61048924                            0   
5                   -3563696945                            0   
6                    1880520707                            0   
7                    1689263345                            0   
8                     262750238                            0   
9                             0                            0   

   Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0            -12732981321                         -141267712   
1              -182114312                        -1552817772   
2                       0                                  0   
3                       0                          -25000000   
4                       0                         -266413562   
5                       0                         -200863777   
6                       0                        -1563503281   
7               -60277000                          -92541582   
8              -204299000                                  0   
9                       0                                  0   

   Tiền thu khác từ các hoạt động kinh doanh  \
0                                          0   
1                                          0   
2                                          0   
3                                  200000000   
4                                          0   
5                                          0   
6                                          0   
7                                          0   
8                                          0   
9                                          0   

   Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                    27558618924   
1                                   -81421778914   
2                                   -53567240718   
3                                      215686537   
4                                     -192755024   
5                                      123543390   
6                                       -2567566   
7                                     3496839267   
8                                      168271701   
9                                     2357792581   

   Tiền thu được từ thanh lý tài sản cố định  \
0                                          0   
1                                          0   
2                                          0   
3                                          0   
4                                          0   
5                                          0   
6                                          0   
7                                 2700000000   
8                                   30000000   
9                                  200000000   

   Đầu tư vào các doanh nghiệp khác  \
0                      -45000000000   
1                      -24352400000   
2                      -52500000000   
3                                 0   
4                                 0   
5                                 0   
6                                 0   
7                                 0   
8                                 0   
9                                 0   

   Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                                  0             
1                                                  0             
2                                       118450000000             
3                                                  0             
4                                                  0             
5                                                  0             
6                                                  0             
7                                                  0             
8                                                  0             
9                                                  0             

   Tiền thu được các khoản đi vay  Tiền trả các khoản đi vay  \
0                     19300000000               -13738999996   
1                    104154559655                -3570847322   
2                       830000000                          0   
3                               0                          0   
4                               0                          0   
5                               0                          0   
6                               0                          0   
7                               0                -8609700000   
8                     13609700000                -1200000000   
9                      2400000000                -1500000000   

   Lưu chuyển tiền thuần trong kỳ  Tiền và tương đương tiền cuối kỳ  \
0                      -314716460                         796226617   
1                     -8584067112                        1110943077   
2                      9551093613                        9695010189   
3                       217336642                         458557633   
4                      -191855907                         241220991   
