     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
    Trả trước dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  \
0                    7488044591               106961092883   
1                    7893262261               110761692154   
2                    6248668954                93103575162   
3                    4734797765                78365542069   
4                    7285348995                87216275834   
5                    7996527087                65020423786   
6                    9186259719                74545101032   
7                    6625683995                82945139149   
8                    7319947354                83195370660   
9                    9730645764                86705478464   
10                   1570910783                83497058895   

    Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                                 0                           0  
1                                 0                           0  
2                         230456940                   230456940  
3                         517617059                   517617059  
4                         160000000                   160000000  
5                         151900000                   151900000  
6                         148000000                   148000000  
7                          48000000                    48000000  
8                                 0                           0  
9                                 0                           0  
10                                0                           0  
     CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0   HDP  2023             15628407330                  -0.119881   
1   HDP  2022             21147027664                   0.362598   
2   HDP  2021             12401007198                   0.042766   
3   HDP  2020              8769500305                  -0.014133   
4   HDP  2019             10586523464                   0.015960   
5   HDP  2018              9580608267                  -0.089086   
6   HDP  2017             10314929683                  -0.043991   
7   HDP  2016              9664536016                   0.062557   
8   HDP  2015             10087180001                   0.121613   
9   HDP  2014              6872175350                   0.125280   
10  HDP  2013              7501436772                   0.000000   

    Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0          422163665717                                        12428080333     
1          479666826997                                        16849527058     
2          352023842254                                         9523487261     
3          337586559293                                         7260657345     
4          342425937841                                         8789584301     
5          337046683513                                         7925000980     
6          370009396508                                         8400103174     
7          387035335640                                         8109926568     
8          364249138013                                         8395219461     
9          324754636689                                         5520570523     
10         288599013529                                         5626077579     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   -0.262408            65452606            65452606   
1                    0.769260           218737951           218737951   
2                    0.311656            91475745            91475745   
3                   -0.173948            46320928            46320928   
4                    0.109096            44302237            44302237   
5                   -0.056559            71571544            71571544   
6                    0.035780           111606527           111606527   
7                   -0.033983            84078107            84078107   
8                    0.520716           153595853           153595853   
9                   -0.018753           218171565           218171565   
10                   0.000000           126873125           126873125   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0            -4494652240           -4494652240     416217077847   
1            -4190136201           -4190136201     473580830515   
2            -3645114750           -3645114750     346665310548   
3            -4128856461           -4128856461     329969032164   
4            -4616996682           -4616996682     333254450149   
5            -5346903684           -5346903684     330069507009   
6            -6507535236           -6507535236     365967582348   
7            -6839938525           -6839938525     381783185751   
8            -4496415117           -4496415117     356871651708   
9            -5060872587           -5060872587     317831460621   
10           -3409232161           -3409232161     282639409529   

    Doanh thu thuần       Lãi gộp       Lãi gộp  Chi phí tài chính  \
0      416217077847  104075427913  104075427913        -4852934143   
1      473580830515  132815410690  132815410690        -4941064182   
2      346665310548   92867604280   92867604280        -4033233716   
3      329969032164   91115805553   91115805553        -4543134111   
4      333254450149   93921734043   93921734043        -4839927965   
5      330069507009   89141393094   89141393094        -5388465390   
6      365967582348   91062129677   91062129677        -6540179755   
7      381783185751   90820747104   90820747104        -6881548866   
8      356871651708   81381450790   81381450790        -4612078419   
9      317831460621   66835821955   66835821955        -5122135698   
10     282639409529   61837454048   61837454048        -3409632161   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0         -4852934143        -15435988081        -15435988081   
1         -4941064182        -20521707930        -20521707930   
2         -4033233716        -13782493041        -13782493041   
3         -4543134111        -12751533850        -12751533850   
4         -4839927965        -16716396292        -16716396292   
5         -5388465390        -18955344424        -18955344424   
6         -6540179755        -16712313332        -16712313332   
7         -6881548866        -19516804355        -19516804355   
8         -4612078419        -17842190343        -17842190343   
9         -5122135698        -13160632909        -13160632909   
10        -3409632161        -13053958523        -13053958523   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                      15736176147                     15736176147   
1                      21155542270                     21155542270   
2                      12236891186                     12236891186   
3                       9192961128                      9192961128   
4                      10445213410                     10445213410   
5                       9461807857                      9461807857   
6                      10710096828                     10710096828   
7                       8993888679                      8993888679   
8                      10080872207                     10080872207   
9                       5708805438                      5708805438   
10                      4982909904                      4982909904   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0              -108772160     -312141649934      -68115782148   
1              -182455366     -340765419825      -86415834259   
2              -171398657     -253797706268      -62906462082   
3              -554047878     -238853226611      -64674497392   
4              -395876207     -239332716106      -61964498613   
5               -94794574     -240928113915      -55407346967   
6              -523690238     -274905452671      -57211146289   
7              -199042940     -290962438647      -55512583311   
8               -53735300     -275490200918      -48999905674   
9              -107264569     -250995638666      -43062419475   
10             -341693689     -220801955481      -40517826585   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0       -68115782148                            422163665717   
1       -86415834259                            479666826997   
2       -62906462082                            352023842254   
3       -64674497392                            337586559293   
4       -61964498613                            342425937841   
5       -55407346967                            337046683513   
6       -57211146289                            370009396508   
7       -55512583311                            387035335640   
8       -48999905674                            364249138013   
9       -43062419475                            324754636689   
10      -40517826585                            288599013529   

    Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  \
0                    -5946587870        1003343      -107768817   
1                    -6085996482      173940760        -8514606   
2                    -5358531706      335514669       164116012   
3                    -7617527129      130587055      -423460823   
4                    -9171487692      537186261       141310054   
5                    -6977176504      213594984       118800410   
6                    -4041814160      128523093      -395167145   
7                    -5252149889      869690277       670647337   
8                    -7377486305       60043094         6307794   
9                    -6923176068     1270634481      1163369912   
10                   -5959604000     2860220557      2518526868   

    LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0     15628407330 -3200326997                  -3200326997      12428080333   
1     21147027664 -4297500606                  -4297500606      16849527058   
2     12401007198 -2877519937                  -2877519937       9523487261   
3      8769500305 -1508842960                  -1508842960       7260657345   
4     10586523464 -1796939163                  -1796939163       8789584301   
5      9580608267 -1655607287                  -1655607287       7925000980   
6     10314929683 -1914826509                  -1914826509       8400103174   
7      9664536016 -1554609448                  -1554609448       8109926568   
8     10087180001 -1691960540                  -1691960540       8395219461   
9      6872175350 -1351604827                  -1351604827       5520570523   
10     7501436772 -1875359193                  -1875359193       5626077579   

    Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0              12428080333                      1313  
1              16849527058                      1781  
2               9523487261                      1043  
3               7260657345                       837  
4               8789584301                      1159  
5               7925000980                      1203  
6               8400103174                      1427  
7               8109926568                      1386  
8               8395219461                      1435  
9               5520570523                       943  
10              5626077579                       962  
     CP   Năm  Tiền và tương đương tiền  \
0   HDP  2023               10961907267   
1   HDP  2022                4924072358   
2   HDP  2021                3401781174   
3   HDP  2020                9819864250   
4   HDP  2019                3767934407   
5   HDP  2018                7006768296   
6   HDP  2017               10816725381   
7   HDP  2016               10396721977   
8   HDP  2015               12966930112   
9   HDP  2014                3931756141   
10  HDP  2013                3264770092   

    Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện  Lãi/Lỗ từ hoạt động đầu tư  \
0                                 -14052480                    -7219572   
1                                         0                   -16644002   
2                                         0                  -408239381   
3                                         0                   414209779   
4                                         0                  -192091476   
5                                         0                    -7772003   
6                                         0                    -7964966   
7                                         0                  -259857971   
8                                   -307337                  -153288516   
9                                  -7162034                  -273736804   
10                                  -641721                  -126231404   

    Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0     4494652240                    3426544586                    3426544586   
1     4235681626                  -14161604346                  -14161604346   
2     3590077696                    9767645933                    9767645933   
3     4128856461                  -10748998241                  -10748998241   
4     4616996682                    8856732380                    8856732380   
5     5346903684                    8729072943                    8729072943   
6     6507535236                   -5103568702                   -5103568702   
7     6839938525                  -15560183217                  -15560183217   
8     4496415117                   -8493218796                   -8493218796   
9     5060872587                    -609470985                    -609470985   
10    3409232161                   17179503601                   17179503601   

    Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0               8894418095                  -14057684790   
1               -249502559                   18288002983   
2             -21616891149                    9569649260   
3              -7051588592                    9709118632   
4              17627732184                   -9266280330   
5              -8457448241                   -9526812791   
6              -2865502167                    8935343629   
7              -4051730742                    7715937082   
8              -4741334546                   10766665038   
9               4986285613                   -4858440402   
10             -7349922707                   -9041593057   

    Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                   -14057684790                    302127765   
1                    18288002983                  -1803770515   
2                     9569649260                    267627040   
3                     9709118632                    684345227   
4                    -9266280330                   1901198814   
5                    -9526812791                    -71274762   
6                     8935343629                  -1251508313   
7                     7715937082                   -588018459   
8                    10766665038                   3158610350   
9                    -4858440402                  -2398572078   
10                   -9041593057                  -1673611840   

    Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0              -4494652240                        -3123805887   
1              -4190136201                        -4039850717   
2              -3590077696                        -2393869721   
3              -4172542441                        -1490787663   
4              -5124608291                        -1949423436   
5              -5347286896                        -1396853963   
6              -6559175096                        -1865921890   
7              -6723197978                        -1379903639   
8              -4496415117                        -1637566285   
9              -5060872587                        -2723280456   
10             -3409232161                        -2102358572   

    Tiền thu khác từ các hoạt động kinh doanh  \
0                                           0   
1                                  2466400524   
2                                  1202400000   
3                                  1223674199   
4                                  1573748201   
5                                  1185147600   
6                                   651790000   
7                                   254870000   
8                                   761166421   
9                                  1540563830   
10                                          0   

    Tiền chi khác từ các hoạt động kinh doanh  \
0                                  -169328638   
1                                 -1162595591   
2                                 -1523108636   
