    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
    CP   Năm  Tăng trưởng doanh thu (%)  Doanh thu (Tỷ đồng)  \
0  FGL  2023                  -0.181488          11331056127   
1  FGL  2022                  -0.645349          13843485782   
2  FGL  2021                   2.600029          39034070663   
3  FGL  2020                  -0.761800          10842708991   
4  FGL  2019                  -0.546374          45519353424   
5  FGL  2018                  -0.511635         100345529600   
6  FGL  2017                  -0.233716         205472364021   
7  FGL  2016                   0.027558         268141317402   
8  FGL  2015                  -0.142819         260950125040   
9  FGL  2014                   0.000000         304428259456   

   Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0                                       -12441876599     
1                                       -24836837458     
2                                          432553220     
3                                       -29485581749     
4                                       -21984321091     
5                                       -16403368282     
6                                       -16383405263     
7                                          403543645     
8                                         6270541739     
9                                         6325578127     

   Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   0.499056            52014360            52014360   
1                 -58.419148             4518245             4518245   
2                   1.014670             3426159             3426159   
3                  -0.341210              746669              746669   
4                  -0.340232           156980507           156980507   
5                  -0.001218           217008520           217008520   
6                 -41.598843           849025893           849025893   
7                  -0.935645          2871086084          2871086084   
8                  -0.008701          3685365846          3685365846   
9                   0.000000          3156002376          3156002376   

   Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0           -7461910902           -7461910902      11331056127   
1           -7069310972           -7069310972      13843485782   
2           -4796291233           -4796291233      39034070663   
3           -4983378256           -4983378256      10842708991   
4           -4953615848           -4953615848      45519353424   
5           -3963864787           -3963864787     100345529600   
6           -5643645207           -5643645207     205472364021   
7           -4865732954           -4865732954     268141317402   
8           -5747404537           -5747404537     260950125040   
9           -4970823978           -4970823978     304428259456   

   Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0      11331056127   -199509298   -199509298        -7461910902   
1      13843485782  -4951639326  -4951639326        -7069310972   
2      39034070663   2414846642   2414846642        -4796297041   
3      10842708991 -13415942225 -13415942225        -4983401472   
4      45519353424  -5548637311  -5548637311        -4953615848   
5     100345529600   2191824554   2191824554        -3963864787   
6     205472364021  -6673246133  -6673246133        -5643645207   
7     268141317402   5838584001   5838584001        -4865732954   
8     260950125040  12396489427  12396489427        -5747404537   
9     304428259456  13136292718  13136292718        -4970823978   

   Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0        -7461910902         -4892052787         -4892052787   
1        -7069310972         -5197210688         -5197210688   
2        -4796297041         -5004142764         -5004142764   
3        -4983401472         -5699040051         -5699040051   
4        -4953615848         -7068046743         -7068046743   
5        -3963864787        -10075651288        -10075651288   
6        -5643645207         -5455885453         -5455885453   
7        -4865732954         -6550494113         -6550494113   
8        -5747404537         -5709501018         -5709501018   
9        -4970823978         -7268456028         -7268456028   

   Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                    -12522266627                    -12522266627   
1                    -17220484861                    -17220484861   
2                     -7389411924                     -7389411924   
3                    -24216709589                    -24216709589   
4                    -17534636279                    -17534636279   
5                    -12028168375                    -12028168375   
6                    -17375151312                    -17375151312   
7                     -2972846021                     -2972846021   
8                      3390439458                      3390439458   
9                      3397276525                      3397276525   

   Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0             -362186272      -11530565425         -20808000   
1            -7840188677      -18795125108          -6842120   
2             -699747233      -36619224021          -7244920   
3            -5310335044      -24258651216        -119072510   
4            -4531278404      -51067990735        -121316884   
5            -4933127910      -98153705046        -397485374   
6             -688408538     -212145610154        -451400412   
7               -1791801     -262302733401        -266289039   
8            -1097187929     -248553635613       -1234510260   
9              -51196345     -291291966738        -655738563   

   Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  Thu nhập khác  \
0         -20808000                             11331056127      442576300   
1          -6842120                             13843485782      332895630   
2          -7244920                             39034070663     8521712377   
3        -119072510                             10842708991       41462884   
4        -121316884                             45519353424       81593592   
5        -397485374                            100345529600      557928003   
6        -451400412                            205472364021     1620327756   
7        -266289039                            268141317402     3479515328   
8       -1234510260                            260950125040     4349791640   
