     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
2                  151500000               150818026422  
3                  151500000               131898222350  
4                  151500000               119197732766  
5                12751500000                69259050473  
6                  607500000                44506439711  
7                 3710938850                50376198378  
8                 4570172707                43348666786  
9                 5101832616                39597280080  
10                6151500000                46468786602  
     CP   Năm  Tăng trưởng doanh thu (%)  Doanh thu (Tỷ đồng)  \
0   DID  2023                  -0.355262         227416474050   
1   DID  2022                   0.438119         352726951793   
2   DID  2021                  -0.008597         245269585090   
3   DID  2020                  -0.084598         247396436453   
4   DID  2019                   0.044586         270259939716   
5   DID  2018                   0.056953         258724493918   
6   DID  2017                   0.182883         244783318214   
7   DID  2016                   0.321240         206937944418   
8   DID  2015                  -0.040921         156624075913   
9   DID  2014                  -0.016539         163306735240   
10  DID  2013                   0.000000         166053004038   

    Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0                                           272627560     
1                                           473147849     
2                                           820204605     
3                                          2362249851     
4                                          5484694337     
5                                          6988870859     
6                                          1714635575     
7                                          3124908126     
8                                          2073213022     
9                                          2061105139     
10                                          -89357023     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   -0.423800          2565741967          2565741967   
1                   -0.423134            10382269            10382269   
2                   -0.652787             9988190             9988190   
3                   -0.569301             9825655             9825655   
4                   -0.215225            11896241            11896241   
5                    3.076009             9162390             9162390   
6                   -0.451300            12823871            12823871   
7                    0.507278            18102905            18102905   
8                    0.005874            14748878            14748878   
9                   24.065956            14563138            14563138   
10                   0.000000            16751061            16751061   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0            -7067100791           -7067100791     227416474050   
1            -6620591061           -6620591061     352726951793   
2            -6023568763           -6023568763     245269585090   
3            -6195767305           -6195767305     247383554635   
4            -6361994030           -6361994030     270259939716   
5            -5341965279           -5341965279     258724493918   
6            -4561841292           -4561841292     244721891404   
7            -4784097477           -4784097477     206937944418   
8            -4927735301           -4927735301     156624075913   
9            -5314367659           -5314367659     163306735240   
10           -5824299869           -5824299869     166053004038   

    Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0      227416474050  16426590260  16426590260        -7067100791   
1      352726951793  23745689362  23745689362        -6620591061   
2      245269585090  18940217748  18940217748        -6023568763   
3      247383554635  22532272457  22532272457        -6195767305   
4      270259939716  28471612579  28471612579        -6361994030   
5      258724493918  29063264300  29063264300        -5797965279   
6      244721891404  16918300263  16918300263        -4953280142   
7      206937944418  20226925989  20226925989        -5643331334   
8      156624075913  14363083851  14363083851        -5459395210   
9      163306735240  15300987327  15300987327        -5314367659   
10     166053004038  12447149800  12447149800        -5824299869   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0         -7067100791        -10702853151        -10702853151   
1         -6620591061        -11027052639        -11027052639   
2         -6023568763         -8461262171         -8461262171   
3         -6195767305         -9683290411         -9683290411   
4         -6361994030        -11745453590        -11745453590   
5         -5797965279        -10569981297        -10569981297   
6         -4953280142         -7700220573         -7700220573   
7         -5643331334         -7708067775         -7708067775   
8         -5459395210         -5591236771         -5591236771   
9         -5314367659         -5885241353         -5885241353   
10        -5824299869         -5552362631         -5552362631   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                        285727760                       285727760   
1                       1343897221                      1343897221   
2                       1123248618                      1123248618   
3                       3741859625                      3741859625   
4                       7025868018                      7025868018   
5                      10074552758                     10074552758   
6                       2378037327                      2378037327   
7                       5158998426                      5158998426   
8                       2177421902                      2177421902   
9                       2340712941                      2340712941   
10                      -976462036                      -976462036   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0               -94036911     -210989883790        -936650525   
1              -904659978     -328981262431       -4764530710   
2              -280556154     -226329367342       -3342126386   
3              -562774808     -224851282178       -2921180771   
4              -252511448     -241788327137       -3350193182   
5             -1233763802     -229661229618       -2629927356   
6              -353366402     -227803591141       -1899586092   
7             -1092481143     -186711018429       -1734631359   
8              -216074861     -142260992062       -1149778846   
9              -324877852     -148005747913       -1775228512   
10             -185259928     -153605854238       -2063700397   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0         -936650525                            227416474050   
1        -4764530710                            352726951793   
2        -3342126386                            245269585090   
3        -2921180771                            247396436453   
4        -3350193182                            270259939716   
5        -2629927356                            258724493918   
6        -1899586092                            244783318214   
7        -1734631359                            206937944418   
8        -1149778846                            156624075913   
9        -1775228512                            163306735240   
10       -2063700397                            166053004038   

    Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  \
0                              0      201502385       107465474   
1                              0      328945804      -575714174   
2                              0      251173882       -29382272   
3                      -12881818      122465054      -440309754   
4                              0      154342446       -98169002   
5                              0      196149749     -1037614053   
6                      -61426810      524923293       171556891   
7                              0      485544350      -606936793   
8                              0      365182826       149107965   
9                              0       45270050      -279607802   
10                             0     1075685367       890425439   

    LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0       393193234  -120565674                   -120565674        272627560   
1       768183047  -295035198                   -295035198        473147849   
2      1093866346  -273661741                   -273661741        820204605   
3      3301549871  -939300020                   -939300020       2362249851   
4      6927699016 -1443004679                  -1443004679       5484694337   
5      9036938705 -2048067846                  -2048067846       6988870859   
6      2549594218  -834958643                   -834958643       1714635575   
7      4552061633 -1427153507                  -1427153507       3124908126   
8      2326529867  -253316845                   -253316845       2073213022   
9      2061105139           0                            0       2061105139   
10      -86036597    -3320426                     -3320426        -89357023   

    Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0                272627560                        17  
1                473147849                        32  
2                820204605                        59  
3               2362249851                       170  
4               5484694337                       611  
5               6988870859                       874  
6               1714635575                       217  
7               3124908126                       625  
8               2073213022                       415  
9               2061105139                       412  
10               -89357023                       -18  
     CP   Năm  Tiền và tương đương tiền  \
0   DID  2023                5148962865   
1   DID  2022               12206055487   
2   DID  2021               15002825976   
3   DID  2020                8858799911   
4   DID  2019                3035434795   
5   DID  2018                4687259106   
6   DID  2017                2808473263   
7   DID  2016                3913377705   
8   DID  2015                2649509273   
9   DID  2014                3922009496   
10  DID  2013                5361603745   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     11438280389   
1                                       -34795146   
2                                     27101930570   
3                                     70729060811   
4                                     28446802137   
5                                     27602228119   
6                                    -35220706681   
7                                      8389951529   
8                                     15904244366   
9                                     -3723185096   
10                                    68977060621   

    Tiền thu được từ thanh lý tài sản cố định  \
0                                           0   
1                                   454545454   
2                                           0   
3                                           0   
4                                    64000000   
5                                           0   
6                                           0   
7                                           0   
8                                    38310000   
9                                           0   
10                                          0   

    Đầu tư vào các doanh nghiệp khác  \
0                                  0   
1                                  0   
2                                  0   
3                                  0   
4                                  0   
5                       -12600000000   
6                                  0   
7                                  0   
8                                  0   
9                                  0   
10                                 0   

    Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                                   0             
1                                                   0             
2                                                   0             
3                                                   0             
4                                         12600000000             
5                                                   0             
6                                          2712000000             
7                                                   0             
8                                                   0             
9                                                   0             
10                                           16751061             

    Tiền thu được các khoản đi vay  Tiền trả các khoản đi vay  Cổ tức đã trả  \
0                     134153365326              -145737067442              0   
1                     264718787188              -266149370399              0   
2                     205695577377              -225265633188              0   
3                     178892373615              -183155437932              0   
4                     269757970623              -239914341034              0   
5                     208508378957              -197929573652              0   
6                     239965978828              -230506785905              0   
7                     184566170066              -179820131359              0   
8                     138335105285              -142478911749              0   
9                     156031496007              -153459219726      -44240000   
10                     68361884935              -138263083667              0   

    Lưu chuyển tiền thuần trong kỳ  Tiền và tương đương tiền cuối kỳ  \
0                      -1801289754                        3347673111   
1                      -7057092622                        5148962865   
2                      -2796770489                       12206055487   
3                       6144026065                       15002825976   
4                       5823365116                        8858799911   
5                      -1651824311                        3035434795   
6                       1878785843                        4687259106   
7                      -1104904442                        2808473263   
8                       1263868432                        3913377705   
9                      -1272500223                        2649509273   
10                     -1439594249                        3922009496   

    Khấu hao TSCĐ  Mua sắm TSCĐ  Tiền thu cổ tức và lợi nhuận được chia  \
0               0   -1714380471                                58512444   
1               0  -23282161988                                10382269   
2               0  -10338633438                                 9988190   
3               0  -60331796084                                 9825655   
4               0  -65142962851                                11896241   
5               0  -27242020125                                 9162390   
6      7339292571   -5084524270                                12823871   
7      6613284173  -14258997583                                18102905   
8      6225292367  -10549628348                                14748878   
9      5636455937     -91914546                                14563138   
10              0    -532207199                                       0   

    Lưu chuyển từ hoạt động đầu tư  \
0                      -1655868027   
1                     -22817234265   
2                     -10328645248   
3                     -60321970429   
4                     -52467066610   
5                     -39832857735   
6                      -2359700399   
7                     -14240894678   
8                     -10496569470   
9                        -77351408   
10                      -515456138   

    Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu  \
0                                                   0        
1                                         17225520000        
2                                                   0        
3                                                   0        
4                                                   0        
5                                                   0        
6                                         30000000000        
7                                                   0        
8                                                   0        
9                                                   0        
10                                                  0        

    Lưu chuyển tiền từ hoạt động tài chính  
0                             -11583702116  
1                              15794936789  
2                             -19570055811  
3                              -4263064317  
4                              29843629589  
5                              10578805305  
6                              39459192923  
7                               4746038707  
8                              -4143806464  
9                               2528036281  
10                            -69901198732  
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   DID  2023  5          0.349775       64161821064   
1   DID  2022  5          0.341169       62490208000   
2   DID  2021  5          0.279760       46356500000   
3   DID  2020  5          1.251186      206415000000   
4   DID  2019  5          0.828492      134802200000   
5   DID  2018  5          0.788358       77584000000   
6   DID  2017  5          0.847690       77584000000   
7   DID  2016  5          0.809243       48490000000   
8   DID  2015  5          0.798608       48490000000   
9   DID  2014  5          0.825798       48490000000   
10  DID  2013  5          0.823345       48490000000   

                                                                             \
   Số CP lưu hành (Triệu CP)         P/E       P/S  P/Cash Flow   EPS (VND)   
0                   15622552  235.346056  0.282134     5.609394   17.450898   
1                   15622552  132.073322  0.177163 -1795.946136   30.286207   
2                   13900000   56.518215  0.189002     1.710450   59.007526   
3                   13900000   87.380681  0.834393     2.918390  169.946032   
4                   13900000   24.577887  0.498787     4.738747  394.582326   
5                    8000000   11.101078  0.299871     2.810788  873.608857   
6                    8000000   45.248099  0.317029    -2.202795  214.329447   
7                    5000000   15.517256  0.234321     5.779533  624.981625   
8                    5000000   23.388817  0.309595     3.048872  414.642604   
9                    5000000   23.526214  0.296926   -13.023795  412.221028   
10                   5000000 -542.654605  0.292015     0.702987  -17.871405   

                            Chỉ tiêu khả năng sinh lợi  \
      BVPS (VND)  EV/EBITDA     Biên lợi nhuận gộp (%)   
0   11741.829618   5.067327                   0.072231   
1   11724.378721   4.451747                   0.067320   
2   11920.924344   4.302548                   0.077222   
3   11868.736962  11.955087                   0.091082   
4   11705.611074   9.106741                   0.105349   
5   12301.512448   6.654992                   0.112333   
6   11440.503591   9.910050                   0.069133   
7   11984.038631   6.241409                   0.097744   
8   12143.636912   7.419034                   0.091704   
9   11743.790307   8.145058                   0.093695   
10  11778.779596  10.249695                   0.074959   

                                                                        \
   Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%)   
0                 0.001199  0.001487  0.018456  0.000753      0.021050   
1                 0.001341  0.002712  0.029385  0.001304      0.022550   
2                 0.003344  0.004961  0.028026  0.002456      0.029098   
3                 0.009549  0.014418  0.036299  0.007438      0.040131   
4                 0.020294  0.042009  0.048553  0.018575      0.049493   
5                 0.027013  0.073592  0.087472  0.027422      0.061314   
6                 0.007006  0.022644  0.044656  0.008755      0.029905   
7                 0.015101  0.051806  0.087803  0.019984      0.052113   
8                 0.013237  0.034716  0.064118  0.014781      0.048665   
9                 0.012621  0.035049  0.063134  0.014551      0.046786   
10               -0.000538 -0.001514  0.040726 -0.000637      0.029094   

                                          Chỉ tiêu thanh khoản  \
   EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Chỉ số thanh toán hiện thời   
0       26986976951     4787086584                    0.608207   
1       32540622866     7954106013                    1.114395   
2       28611511735     7136829191                    0.952235   
3       25088415362     9927801275                    1.107179   
4       26214479993    13375965807                    1.589710   
5       23664943177    15863355647                    0.780227   
6       14657786169     7318493598                    1.103423   
7       17397511028    10784226855                    0.988443   
8       13847360601     7622068234                    1.096085   
9       13276973399     7640517462                    1.118371   
10      10175696737     4831086772                    1.120745   

                                                       \
   Chỉ số thanh toán tiền mặt Chỉ số thanh toán nhanh   
0                    0.027064                0.456232   
1                    0.026951                0.904077   
2                    0.076319                0.760019   
3                    0.115370                0.999291   
4                    0.084921                1.382493   
5                    0.016937                0.711712   
6                    0.036402                0.875625   
7                    0.027200                0.820460   
8                    0.048661                0.897479   
9                    0.036875                0.885025   
10                   0.047876                0.811565   

                                              Chỉ tiêu hiệu quả hoạt động  \
   Khả năng chi trả lãi vay Đòn bẩy tài chính           Vòng quay tài sản   
0                 -0.677376          1.832954                    0.628287   
1                 -1.201419          2.116638                    0.972123   
2                 -1.184817          2.039763                    0.734413   
3                 -1.602352          1.999952                    0.778930   
4                 -2.102480          1.876028                    0.915275   
5                 -2.969573          2.899133                    1.015161   
6                 -1.604285          2.451936                    1.249581   
7                 -2.254182          2.791635                    1.323410   
8                 -1.546769          2.395643                    1.116674   
9                 -1.437710          2.300105                    1.152883   
10                -0.829471          2.517097                    1.184620   

                                                                        \
   Vòng quay TSCĐ Số ngày thu tiền bình quân Số ngày tồn kho bình quân   
0        1.624890                 181.666192                 48.657988   
1        2.400500                 139.022360                 38.406230   
2        1.735094                 133.431286                 35.571135   
3        1.970430                 127.364596                 28.331305   
4        2.868137                 145.068545                 24.004875   
5        4.548383                 144.208510                 30.115505   
6        5.158412                 119.524966                 35.540813   
7        4.415860                 115.140533                 31.988260   
8        3.776534                 125.767939                 40.684700   
9        3.794916                 114.552864                 46.631977   
10       3.510479                  93.751338                 57.347977   

                                                                    \
   Số ngày thanh toán bình quân Chu kỳ tiền Vòng quay hàng tồn kho   
0                    127.156892  357.481072               7.501338   
1                     93.591295  271.019886               9.503666   
2                     82.856377  251.858797              10.261129   
3                     54.336631  210.032532              12.883275   
4                     88.901558  257.974977              15.205245   
5                    118.986962  293.310977              12.120003   
6                     68.342555  223.408334              10.269883   
7                     52.642973  199.771766              11.410436   
8                     42.372657  208.825296               8.971432   
9                     45.004625  206.189466               7.827247   
10                    59.802512  210.901827               6.364653   

   Chỉ tiêu cơ cấu nguồn vốn                                               
            (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH Vốn CSH/Vốn điều lệ  
0                   0.458127  0.832954       0.746066            1.174183  
1                   0.551413  1.116638       0.781045            1.172438  
2                   0.611391  1.039763       0.910183            1.060652  
3                   0.869514  0.999952       0.799502            1.056008  
4                   0.928068  0.876028       0.732587            1.041494  
5                   0.920829  1.899133       0.703766            0.629936  
6                   0.835701  1.451936       0.486281            0.585846  
7                   1.118228  1.791635       0.840722            0.383549  
8                   1.028974  1.395643       0.713932            0.388657  
9                   1.137473  1.300105       0.674353            0.375860  
10                  1.140318  1.517097       0.789025            0.376980  
