     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
    Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                        8120831678                  8120831678  
1                        7794542227                  7794542227  
2                        7478676350                  7478676350  
3                        7039469791                  7039469791  
4                        6707655589                  6707655589  
5                        6385286792                  6385286792  
6                        6072033661                  6072033661  
7                        4798474592                  4798474592  
8                        3241169800                  3241169800  
9                                 0                           0  
10                                0                           0  
     CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0   DND  2023              5842220728                  -0.142249   
1   DND  2022            -24197589596                  -0.137534   
2   DND  2021             10455309182                  -0.144313   
3   DND  2020             14874526157                  -0.284999   
4   DND  2019             15788779804                   0.013712   
5   DND  2018             30942091602                   0.089609   
6   DND  2017              9766050589                   0.087762   
7   DND  2016              6403911040                   0.056333   
8   DND  2015              4876710285                   0.526209   
9   DND  2014                       0                   0.218118   
10  DND  2013                       0                   0.000000   

    Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0          118791005650                                         5842220728     
1          138491251940                                       -24197589596     
2          160575870905                                         4405281628     
3          187657209819                                        12751839356     
4          262457102261                                        12671950083     
5          258907075123                                        24960013927     
6          237614637753                                         7895699429     
7          218443562692                                         5293476505     
8          206794174182                                         3884576112     
9          135495310364                                         2450747100     
10         111233311367                                         1004519703     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                    1.241438          2304892147          2304892147   
1                   -6.492859           924293924           924293924   
2                   -0.654538           534986625           534986625   
3                    0.006304           948742023           948742023   
4                   -0.492310          1292586643          1292586643   
5                    2.161216          2671264958          2671264958   
6                    0.491591          1251346565          1251346565   
7                    0.362691          1587143958          1587143958   
8                    0.585058           933194466           933194466   
9                    1.439720           638966980           638966980   
10                   0.000000           352502059           352502059   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0            -1727334600           -1727334600     118791005650   
1            -1124452301           -1124452301     138491251940   
2             -175246605            -175246605     160575870905   
3             -236836393            -236836393     187657209819   
4             -247053659            -247053659     262457102261   
5             -415828163            -415828163     258907075123   
6             -547900442            -547900442     237614637753   
7             -502618918            -502618918     218443562692   
8             -603050428            -603050428     206794174182   
9             -311129815            -311129815     135198286071   
10             -21138497             -21138497     111233311367   

    Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0      118791005650  18064398470  18064398470        -1732681518   
1      138491251940   6669964109   6669964109        -1124539741   
2      160575870905  20712686077  20712686077         -175246605   
3      187657209819  28255156438  28255156438         -236836393   
4      262457102261  32094701126  32094701126         -247053659   
5      258907075123  30397482402  30397482402         -415828163   
6      237614637753  30118204132  30118204132         -547900442   
7      218443562692  21860715026  21860715026         -662618918   
8      206794174182  20361857682  20361857682         -603050428   
9      135198286071  12068768713  12068768713         -311129815   
10     111233311367   5582913920   5582913920          -31138497   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0         -1732681518        -12120504608        -12120504608   
1         -1124539741        -11127216326        -11127216326   
2          -175246605         -9250802704         -9250802704   
3          -236836393         -9645459080         -9645459080   
4          -247053659        -11859923325        -11859923325   
5          -415828163          4087191453          4087191453   
6          -547900442        -15329774167        -15329774167   
7          -662618918        -12767810006        -12767810006   
8          -603050428        -12822807269        -12822807269   
9          -311129815         -6710430627         -6710430627   
10          -31138497         -3691353002         -3691353002   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                       3630207726                      3630207726   
1                      -8084928456                     -8084928456   
2                       8738235790                      8738235790   
3                      15367668331                     15367668331   
4                      15516977138                     15516977138   
5                      31425699610                     31425699610   
6                       9386906791                      9386906791   
7                       5746784240                      5746784240   
8                       5517832826                      5517832826   
9                       3252991408                      3252991408   
10                      1157661860                      1157661860   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0              -131876754     -100726607180       -2885896765   
1            -16633721096     -131821287831       -3427430422   
2             -3980204541     -139863184828       -3083387603   
3              -630982959     -159402053381       -3953934657   
4              -110970649     -230362401135       -5763333647   
5              -773378701     -228509592721       -5314411040   
6              -172019644     -207496433621       -6104969297   
7               -50884342     -196582847666       -4270645820   
8              -971661516     -186432316500       -2351361625   
9              -567007710     -123129517358       -2433183843   
10              -35677916     -105650397447       -1055262620   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0        -2885896765                            118791005650   
1        -3427430422                            138491251940   
2        -3083387603                            160575870905   
3        -3953934657                            187657209819   
4        -5763333647                            262457102261   
5        -5314411040                            258907075123   
6        -6104969297                            237614637753   
7        -4270645820                            218443562692   
8        -2351361625                            206794174182   
9        -2433183843                            135495310364   
10       -1055262620                            111233311367   

    Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  \
0                              0     2343889756      2212013002   
1                              0      521059956    -16112661140   
2                              0      331160909     -3649043632   
3                              0      137840785      -493142174   
4                              0      382773315       271802666   
5                              0      289770693      -483608008   
6                              0      551163442       379143798   
7                              0      708011142       657126800   
8                              0      330538975      -641122541   
9                     -297024293      398820278      -168187432   
10                             0      200869691       165191775   

    LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0      5842220728           0                            0       5842220728   
1    -24197589596           0                            0     -24197589596   
2      5089192158  -683910530                   -683910530       4405281628   
3     14874526157 -2122686801                  -2122686801      12751839356   
4     15788779804 -3116829721                  -3116829721      12671950083   
5     30942091602 -5982077675                  -5982077675      24960013927   
6      9766050589 -1870351160                  -1870351160       7895699429   
7      6403911040 -1110434535                  -1110434535       5293476505   
8      4876710285  -992134173                   -992134173       3884576112   
9      3084803976  -634056876                   -634056876       2450747100   
10     1322853635  -318333932                   -318333932       1004519703   

    Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0               5842220728                       661  
1             -24197589596                     -2739  
2               4405281628                       338  
3              12751839356                      1218  
4              12671950083                      1210  
5              24960013927                      2457  
6               7895699429                       772  
7               5293476505                       513  
