     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
    Đầu tư dài hạn (Tỷ đồng)  Tài sản cố định (Tỷ đồng)  \
0                18966522520               657236754210   
1                16744896250               668837467056   
2                15960628349               681813057465   
3                16974910573               707418132488   
4                16728720699               735131379824   
5                16417589206               764808804163   
6                17587380068               794591611588   
7                18654619254               825310099485   
8                22064183061               178563778058   
9                22064183061               193199593177   
10               14166215449                67881334102   

    Phải thu dài hạn khác (Tỷ đồng)  
0                                 0  
1                                 0  
2                                 0  
3                                 0  
4                                 0  
5                                 0  
6                                 0  
7                                 0  
8                                 0  
9                         300000000  
10                        300000000  
     CP   Năm  Tăng trưởng doanh thu (%)  Doanh thu (Tỷ đồng)  \
0   FCS  2023                   0.032215         404619732453   
1   FCS  2022                  -0.562162         391991677917   
2   FCS  2021                   0.156543         895289809352   
3   FCS  2020                   0.084393         774108259485   
4   FCS  2019                   0.216726         713863484314   
5   FCS  2018                  -0.465111         586708646446   
6   FCS  2017                   0.040534        1096879035522   
7   FCS  2016                  -0.274575        1054149741843   
8   FCS  2015                  -0.307769        1453148568092   
9   FCS  2014                   0.388155        2099225984817   
10  FCS  2013                   0.000000        1512242234599   

    Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0                                          1012909206     
1                                           106391552     
2                                        -19694336544     
3                                        -36704282376     
4                                        -15545156158     
5                                        -26891829285     
6                                        -63634785990     
7                                        -71799224225     
8                                          7486535484     
9                                        -70625145698     
10                                          118244881     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                    8.520579            54961993            54961993   
1                    1.005402            38749172            38749172   
2                    0.463432             3026211             3026211   
3                   -1.361140            52238333            52238333   
4                    0.421938            40313281            40313281   
5                    0.577404           215116372           215116372   
6                    0.113712           109537455           109537455   
7                  -10.590447          1607851909          1607851909   
8                    1.106004          4751677853          4751677853   
9                 -598.278674          1192363951          1192363951   
10                   0.000000          1678788284          1678788284   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0                      0                     0     404619732453   
1                      0                     0     391991677917   
2                      0                     0     895289809352   
3                      0                     0     774108259485   
4                      0                     0     713863484314   
5                      0                     0     586708646446   
6            -4308359039           -4308359039    1021379035522   
7           -19921215423          -19921215423    1054149741843   
8           -22136032044          -22136032044    1453135837704   
9           -12737447660          -12737447660    2099214349368   
10           -6148179573           -6148179573    1512193149416   

    Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0      404619732453  66282083275  66282083275          638627566   
1      391991677917  64582308624  64582308624         -801266324   
2      895289809352  63139546931  63139546931        -2720436381   
3      774108259485  62871738546  62871738546       -15592130438   
4      713863484314  61971786064  61971786064        -1280761885   
5      586708646446  60134154431  60134154431        -2864841205   
6     1021379035522   3997400159   3997400159        -7452697611   
7     1054149741843  27460440448  27460440448       -22623684292   
8     1453135837704  98127696762  98127696762       -23448224864   
9     2099214349368  70320605700  70320605700       -14560404710   
10    1512193149416  59468619782  59468619782        -8787912939   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0           638627566        -64344358571        -64344358571   
1          -801266324        -58338786360        -58338786360   
2         -2720436381        -73155091673        -73155091673   
3        -15592130438        -78702224092        -78702224092   
4         -1280761885        -69469610651        -69469610651   
5         -2864841205        -70752152848        -70752152848   
6         -7452697611        -63367048694        -63367048694   
7        -22623684292        -65102602204        -65102602204   
8        -23448224864        -48300217891        -48300217891   
9        -14560404710        -74184932106        -74184932106   
10        -8787912939        -25618148030        -25618148030   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                      -4263393997                     -4263393997   
1                      -3954052897                     -3954052897   
2                     -29951527017                    -29951527017   
3                     -56718624755                    -56718624755   
4                     -32906297845                    -32906297845   
5                     -36643830938                    -36643830938   
6                     -95542284542                    -95542284542   
7                     -92057384307                    -92057384307   
8                     -22724744209                    -22724744209   
9                     -85872776567                    -85872776567   
10                    -25314297827                    -25314297827   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0              -276010987     -338337649178       -6894708260   
1              -144949214     -327409369293       -9435058009   
2               -55631825     -832150262421      -17218572105   
3               -35001468     -711236520939      -25348247104   
4              -269797495     -651891698250      -24168024654   
5               -61177207     -526574492015      -23376107688   
6               -70674618    -1017381635363      -28829475851   
7             -1535694083    -1026689301395      -33399390168   
8             -1133796932    -1355008140942      -53855676069   
9              -587479207    -2028893743668      -68640409402   
10             -344165704    -1452724529634      -52055644924   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0        -6894708260                            404619732453   
1        -9435058009                            391991677917   
2       -17218572105                            895289809352   
3       -25348247104                            774108259485   
4       -24168024654                            713863484314   
5       -23376107688                            586708646446   
6       -28829475851                           1096879035522   
7       -33399390168                           1054149741843   
8       -53855676069                           1453148568092   
9       -68640409402                           2099225984817   
10      -52055644924                           1512242234599   

    Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  \
0                              0     5552314190      5276303203   
1                              0     4205393663      4060444449   
2                              0    10312822298     10257190473   
3                              0    20049343847     20014342379   
4                              0    17630939182     17361141687   
5                              0     9813178860      9752001653   
6                   -75500000000    31978173170     31907498552   
7                              0    21793854165     20258160082   
8                      -12730388    31345076625     30211279693   
9                      -11635449    15835110076     15247630869   
10                     -49085183    25939604378     25595438674   

    LN trước thuế  Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0      1012909206          0                            0       1012909206   
1       106391552          0                            0        106391552   
2    -19694336544          0                            0     -19694336544   
3    -36704282376          0                            0     -36704282376   
4    -15545156158          0                            0     -15545156158   
5    -26891829285          0                            0     -26891829285   
6    -63634785990          0                            0     -63634785990   
7    -71799224225          0                            0     -71799224225   
8      7486535484          0                            0       7486535484   
9    -70625145698          0                            0     -70625145698   
10      281140847 -162895966                   -162895966        118244881   

    Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0               1012909206                        40  
1                106391552                         4  
2             -19694336544                      -772  
3             -36704282376                     -1439  
4             -15545156158                      -609  
5             -26891829285                     -1054  
6             -63634785990                         0  
7             -71799224225                         0  
8               7486535484                         0  
9             -70625145698                         0  
10               118244881                         0  
     CP   Năm  Tiền và tương đương tiền  \
0   FCS  2023                9875580044   
1   FCS  2022                2417368044   
2   FCS  2021                2006930633   
3   FCS  2020                3581982699   
4   FCS  2019                7504228968   
5   FCS  2018                5279335406   
6   FCS  2017                6935177449   
7   FCS  2016               93519856708   
8   FCS  2015               22769804244   
9   FCS  2014               29557676575   
10  FCS  2013               24650835889   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                      7262294184   
1                                      7422503864   
2                                       407845170   
3                                     -1582016009   
4                                     -5897243504   
5                                      1686446589   
6                                    217516368052   
7                                    -74203232453   
8                                     44019378571   
9                                     95514734471   
10                                   -53367477437   

    Tiền thu được từ thanh lý tài sản cố định  \
0                                  2968710732   
1                                    35800000   
2                                     3100000   
3                                     1450000   
4                                  2154006062   
5                                   529000000   
6                                  1126435910   
7                                  2070115000   
8                                   951275818   
9                                   849113908   
10                                          0   

    Đầu tư vào các doanh nghiệp khác  \
0                                  0   
1                                  0   
2                                  0   
3                                  0   
4                                  0   
5                                  0   
6                                  0   
7                                  0   
8                                  0   
9                        -6758000000   
10                       -2400000000   

    Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                                   0             
1                                                   0             
2                                                   0             
3                                                   0             
4                                                   0             
5                                                   0             
6                                                   0             
7                                                   0             
8                                                   0             
9                                                   0             
10                                         4501740000             

    Tiền thu được các khoản đi vay  Tiền trả các khoản đi vay  \
0                                0                          0   
1                                0                          0   
2                                0                          0   
3                                0                          0   
4                                0                          0   
5                                0                          0   
6                      60641626638              -281027494634   
7                     881236948368              -896281468049   
8                    1038437998867             -1012416752917   
9                     961282974624             -1070758907746   
10                    739011047541              -690572969635   

    Lưu chuyển tiền thuần trong kỳ  Ảnh hưởng của chênh lệch tỷ giá  \
0                      10231004916                           250414   
1                       7458303864                           -91864   
2                        410945170                          -507759   
3                      -1575818549                           766483   
4                      -3922272214                            25945   
5                       2225304782                          -411220   
6                      -1656919111                          1077068   
7                     -86587197956                          2518697   
8                      70747369386                          2683078   
9                      -6787723561                          -148770   
10                     -2390495275                                0   

    Tiền và tương đương tiền cuối kỳ  Mua sắm TSCĐ  \
0                        20106835374             0   
1                         9875580044             0   
2                         2417368044             0   
3                         2006930633             0   
4                         3581982699    -193958000   
5                         7504228968             0   
6                         5279335406             0   
7                         6935177449    -327500000   
8                        93519856708    -434517071   
9                        22769804244   -6301746872   
10                       22260340614    -109237999   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                        0                      2968710732   
1                                        0                        35800000   
