    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
1                        757356300                   757356300  
2                        957675900                   957675900  
3                       1203051700                  1203051700  
4                       1752523693                  1752523693  
5                       1500043668                  1500043668  
6                       2225715641                  2225715641  
7                       1035360508                  1035360508  
8                                0                           0  
9                                0                           0  
    CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0  HPT  2023             28584226786                  -0.013541   
1  HPT  2022             26534280972                   0.451943   
2  HPT  2021             24679021067                  -0.029611   
3  HPT  2019             21215102313                   0.057151   
4  HPT  2018             17842961434                  -0.128107   
5  HPT  2017             14389142661                  -0.023048   
6  HPT  2016             11781746861                   0.342244   
7  HPT  2015              8004471136                  -0.130927   
8  HPT  2014             12761241192                  -0.045926   
9  HPT  2013             12415205041                   0.000000   

   Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0        1156626517096                                        33370620787     
1        1172503975187                                        21189893212     
2         807541420772                                        19762612624     
3         832183581577                                        16962931281     
4         787194350967                                        14258943139     
5         902856944099                                        11771950730     
6         924156902263                                         9368591798     
7         688516097915                                         6276327199     
8         792242289088                                        10007456068     
9         830378045294                                         9390153041     

   Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   0.574837          1642582424          1642582424   
1                   0.072221          2144893996          2144893996   
2                   0.165047          1643851621          1643851621   
3                   0.189635          1005968278          1005968278   
4                   0.211264          1306808104          1306808104   
5                   0.256534          1133553928          1133553928   
6                   0.492687          1282404121          1282404121   
7                  -0.372835          1532688609          1532688609   
8                   0.065739           615328825           615328825   
9                   0.000000          1376446891          1376446891   

   Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0           -2733548090           -2733548090    1156626517096   
1           -2910767676           -2910767676    1172503975187   
2           -4341576495           -4341576495     807541420772   
3           -5151304743           -5151304743     832183581577   
4           -6094326696           -6094326696     787194350967   
5           -5467927336           -5467927336     902856944099   
6           -5203109311           -5203109311     924127202263   
7           -8626967200           -8626967200     688516097915   
8          -13104996619          -13104996619     792228264088   
9          -16600071612          -16600071612     829949908929   

   Doanh thu thuần       Lãi gộp       Lãi gộp  Chi phí tài chính  \
0    1156626517096  230766976752  230766976752        -7105544185   
1    1172503975187  180285451055  180285451055        -6352305832   
2     807541420772  145253034987  145253034987        -4658445595   
3     832183581577  134570098820  134570098820        -5425873420   
4     787194350967  116872560174  116872560174        -7887796703   
5     902856944099  103685573959  103685573959        -4611909163   
6     924127202263   95887340552   95887340552        -6878463008   
7     688516097915   81245446981   81245446981       -10928864628   
8     792228264088   91303250806   91303250806       -13422494514   
9     829949908929  105156421942  105156421942       -18081355715   

   Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0        -7105544185        -51314961018        -51314961018   
1        -6352305832        -51115164304        -51115164304   
2        -4658445595        -36101994975        -36101994975   
3        -5425873420        -36400828563        -36400828563   
4        -7887796703        -28729613283        -28729613283   
5        -4611909163        -25499368917        -25499368917   
6        -6878463008        -27771873603        -27771873603   
