     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
10                   9818271562               127278509387   

    Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                                 0                           0  
1                                 0                           0  
2                                 0                           0  
3                          70000000                    70000000  
4                          70000000                    70000000  
5                          70000000                    70000000  
6                                 0                           0  
7                                 0                           0  
8                                 0                           0  
9                                 0                           0  
10                                0                           0  
     CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0   VTV  2023             13117465337                  -0.359715   
1   VTV  2022             26946396215                   1.204857   
2   VTV  2021             18202882528                   0.344363   
3   VTV  2020              8432448452                  -0.308073   
4   VTV  2019             16393862267                  -0.370048   
5   VTV  2018             51101227220                  -0.115398   
6   VTV  2017            143143326060                   0.193894   
7   VTV  2016             72063931823                   0.034649   
8   VTV  2015             53280654528                  -0.076084   
9   VTV  2014             47297811351                   0.023017   
10  VTV  2013             33042918639                   0.000000   

    Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0         2849119202776                                         5295866220     
1         4449769735079                                        19324279626     
2         2018167235754                                        14034309968     
3         1501206609499                                         2024037235     
4         2169602607962                                        12914552660     
5         3444077235545                                        31196435987     
6         3893362485729                                       114495909344     
7         3261061602520                                        57641545458     
8         3151854245484                                        41500216043     
9         3411407008283                                        36820154473     
10        3334652460981                                        24782188979     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   -0.725948            51365012            51365012   
1                    0.376931            41634858            41634858   
2                    5.933820           540403115           540403115   
3                   -0.843275          1696500090          1696500090   
4                   -0.586025          1018589963          1018589963   
5                   -0.727532         26224340008         26224340008   
6                    0.986344         26751984158         26751984158   
7                    0.388946           554868294           554868294   
8                    0.127106          2036711089          2036711089   
9                    0.485751          3120421041          3120421041   
10                   0.000000          6811473624          6811473624   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0           -47360152309          -47360152309    2849119202776   
1           -27208416772          -27208416772    4449769735079   
2           -15206199314          -15206199314    2018167235754   
3           -27600720073          -27600720073    1501206609499   
4           -50697479620          -50697479620    2169602607962   
5           -51794044855          -51794044855    3444077235545   
6           -55032837062          -55032837062    3893362485729   
7           -32490128385          -32490128385    3261061602520   
8           -23496979291          -23496979291    3151854245484   
9           -30332375619          -30332375619    3411407008283   
10          -30031562717          -30031562717    3334652460981   

    Doanh thu thuần       Lãi gộp       Lãi gộp  Chi phí tài chính  \
0     2849119202776  279886805427  279886805427       -47360152309   
1     4449769735079  415153809348  415153809348       -27208416772   
2     2018167235754  208139986465  208139986465       -15206199314   
3     1501206609499  158612906159  158612906159       -28222822713   
4     2169602607962  255220513554  255220513554       -50839636300   
5     3444077235545  356900800280  356900800280       -51803098932   
6     3893362485729  326708285118  326708285118       -43578964884   
7     3261061602520  346018586313  346018586313       -27356517715   
8     3151854245484  345381757268  345381757268       -16163927216   
9     3411407008283  363822036256  363822036256       -32184661537   
10    3334652460981  361760516618  361760516618       -30686768764   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0        -47360152309        -44305968447        -44305968447   
1        -27208416772        -55954791736        -55954791736   
2        -15206199314        -45174917481        -45174917481   
3        -28222822713        -33748033784        -33748033784   
4        -50839636300        -38386846344        -38386846344   
5        -51803098932        -41824194099        -41824194099   
6        -43578964884        -51425711473        -51425711473   
7        -27356517715        -46167401364        -46167401364   
8        -16163927216        -29244472268        -29244472268   
9        -32184661537        -31863243451        -31863243451   
10       -30686768764        -29318565311        -29318565311   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                      12819598191                     12819598191   
1                      14932405157                     14932405157   
2                      15009254133                     15009254133   
3                       7418626775                      7418626775   
4                      12097783062                     12097783062   
5                      93488392617                     93488392617   
6                      40404842116                     40404842116   
7                      67752854773                     67752854773   
8                      49865540104                     49865540104   
9                      41850707668                     41850707668   
10                     25459606925                     25459606925   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0              -500143672    -2569232397349     -175452451492   
1             -1027944575    -4034615925731     -317099830541   
2              -331733137    -1810027249289     -133290018652   
3              -179086125    -1342593703340      -90919922977   
4              -682222765    -1914382094408     -154914837811   
5            -48454708622    -3087176435265     -196009454640   
6             -9447718869    -3566654200611     -218050750803   
7             -3531163079    -2915043016207     -205296680755   
8              -603477628    -2806472488216     -252144528769   
9              -837303947    -3047584972027     -261043844641   
10             -340853118    -2972891944363     -283107049242   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  Thu nhập khác  \
0      -175452451492                           2849119202776      798010818   
1      -317099830541                           4449769735079    13041935633   
2      -133290018652                           2018167235754     3525361532   
3       -90919922977                           1501206609499     1192907802   
