     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
9                 37740780484                       4000000000   
10                42494225879                       6931650000   

    Phải thu dài hạn (Tỷ đồng)  
0                   6862538000  
1                   6862538000  
2                   6862538000  
3                  10862538000  
4                  10862538000  
5                  10963938000  
6                  10963938000  
7                  10931650000  
8                   4000000000  
9                   4000000000  
10                  6931650000  
     CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0   V21  2023               402036526                   0.757747   
1   V21  2022               928884788                  -0.512189   
2   V21  2021              3713924322                  -0.228892   
3   V21  2020              1590539789                  -0.569567   
4   V21  2019              2377163766                   3.616920   
5   V21  2018             -2917823603                  -0.610032   
6   V21  2017             29455352263                   0.311391   
7   V21  2016              2198634602                  -0.040003   
8   V21  2015              1401515854                  -0.312266   
9   V21  2014             -6380906755                   0.201437   
10  V21  2013               294438646                   0.000000   

    Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0          107609657162                                           59007958     
1           61220235368                                          928884788     
2          125499975935                                         3713924322     
3          162752725227                                         1150350656     
4          378114031343                                          661264024     
5           81897454485                                        -2962525341     
6          210010821473                                        28927306506     
7          160143599084                                         1680544883     
8          166816709430                                          963186542     
9          242559800835                                        -7642478142     
10         201891440133                                          122689730     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   -0.936474          1802658842          1802658842   
1                   -0.749891          2489115181          2489115181   
2                    2.228515           457994432           457994432   
3                    0.739624            46183159            46183159   
4                    1.223210            39008303            39008303   
5                   -1.102413            17841990            17841990   
6                   16.213052            22670428            22670428   
7                    0.744776            60481850            60481850   
8                    1.126031            61834588            61834588   
9                  -63.291099           180169620           180169620   
10                   0.000000           243313797           243313797   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0            -3170089881           -3170089881     107609657162   
1            -2867136911           -2867136911      61220235368   
2            -3483088245           -3483088245     125499975935   
3            -4166372867           -4166372867     162752725227   
4            -7325448087           -7325448087     378114031343   
5            -4960513734           -4960513734      81897454485   
6            -5459100525           -5459100525     210010821473   
7            -5841490879           -5841490879     160143599084   
8            -6848979876           -6848979876     166816709430   
9            -8219809025           -8219809025     242559800835   
10          -10955255474          -10955255474     201891440133   

    Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0      107609657162  11166765281  11166765281        -3170089881   
1       61220235368   4937756273   4937756273        -2867136911   
2      125499975935   6459524391   6459524391        -3483088245   
3      162752725227  14896393173  14896393173        -4166372867   
4      378114031343  35473359709  35473359709        -7325448087   
5       81897454485  14914641675  14914641675        -4960513734   
6      210010821473   8480289523   8480289523        -5459100525   
7      160143599084  17823901541  17823901541        -5841490879   
8      166816709430  17303420318  17303420318        -6848979876   
9      242559800835  19483757054  19483757054        -8219809025   
10     201891440133  19747048486  19747048486       -10955255474   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0         -3170089881         -9477887809         -9477887809   
1         -2867136911         -3684109591         -3684109591   
2         -3483088245          1886364828          1886364828   
3         -4166372867         -8070616551         -8070616551   
4         -7325448087        -11688711209        -11688711209   
5         -4960513734        -12915278606        -12915278606   
6         -5459100525         26743805145         26743805145   
7         -5841490879         -8878358515         -8878358515   
8         -6848979876         -8967534434         -8967534434   
9         -8219809025        -17505011506        -17505011506   
10       -10955255474         -8568573613         -8568573613   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                        321446433                       321446433   
1                        875624952                       875624952   
2                       4466796765                      4466796765   
3                       2518275366                      2518275366   
4                      12429641812                     12429641812   
5                      -2943308675                     -2943308675   
6                      29787664571                     29787664571   
7                       3164533997                      3164533997   
8                       1548740596                      1548740596   
9                      -6060893857                     -6060893857   
10                       466533196                       466533196   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0               -12797859      -96442891881                 0   
1              -246740584      -56282479095                 0   
2              -753525508     -119040451544        -853998641   
3             -1017735578     -147856332054        -187311548   
4            -10189886975     -342640671634       -4068566904   
5              -677786522      -66982812810                 0   
6              -555432686     -201530531950                 0   
7             -1107923741     -142319697543                 0   
8               -80797230     -149513289112                 0   
9              -326062023     -223076043781                 0   
10             -460320689     -182144391647                 0   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  Thu nhập khác  \
0                  0                            107609657162       93387952   
1                  0                             61220235368      300000420   
2         -853998641                            125499975935         653065   
3         -187311548                            162752725227       90000001   
4        -4068566904                            378114031343      137408929   
5                  0                             81897454485      703271594   
6                  0                            210010821473      223120378   
7                  0                            160143599084      142024346   
8                  0                            166816709430       24604772   
9                  0                            242559800835        6049126   
10                 0                            201891440133      288226139   

    Lợi nhuận khác  LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  \
0         80590093      402036526  -343028568                   -343028568   
1         53259836      928884788           0                            0   
2       -752872443     3713924322           0                            0   
3       -927735577     1590539789  -440189133                   -440189133   
4     -10052478046     2377163766 -1715899742                  -1715899742   
5         25485072    -2917823603   -44701738                    -44701738   
6       -332312308    29455352263  -528045757                   -528045757   
7       -965899395     2198634602  -518089719                   -518089719   
8        -56192458     1492548138  -529361596                   -529361596   
9       -320012897    -6380906754 -1261571388                  -1261571388   
10      -172094550      294438646  -171748916                   -171748916   

    Lợi nhuận thuần  Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0          59007958                59007958                         5  
1         928884788               928884788                        77  
2        3713924322              3713924322                       309  
3        1150350656              1150350656                        96  
4         661264024               661264024                        55  
5       -2962525341             -2962525341                      -247  
6       28927306506             28927306506                      2411  
7        1680544883              1680544883                       252  
8         963186542               963186542                       191  
9       -7642478142             -7642478142                     -4496  
10        122689730               122689730                        72  
     CP   Năm  Tiền và tương đương tiền  Lãi/Lỗ từ hoạt động đầu tư  \
0   V21  2023                3490121694                 -1893567933   
1   V21  2022               30211112285                 -2789115181   
2   V21  2021                5059049245                  -456634622   
3   V21  2020                5738770104                  -136183159   
4   V21  2019                7056365839                   -57190121   
5   V21  2018                9061205827                   -36778757   
6   V21  2017               54737587871                  -122670428   
7   V21  2016                7800279417                   -60481850   
8   V21  2015                5338692053                   -61834588   
9   V21  2014               13701161143                  -180169620   
10  V21  2013               21118895588                  -243313797   

    Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0     3170089881                   10111446775                   10111446775   
1     2867136911                  -24251044812                  -24251044812   
2     3483088245                  130164998006                  130164998006   
3     4166372867                   -2785864461                   -2785864461   
4     7325448087                   40785912580                   40785912580   
5     4960513734                  -43969250855                  -43969250855   
6     5459100525                  -48954636448                  -48954636448   
7     5841490879                  -46190198236                  -46190198236   
8     6848979876                  -11919354818                  -11919354818   
9     8291809025                   -9737254335                   -9737254335   
10   10955255474                   61157994002                   61157994002   

    Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0             -12618391314                  -22556730847   
1              -2694106755                     598139198   
2              68135819997                 -139431223753   
3             -23295823395                   34398044185   
4             202074186732                 -214038759907   
5            -239099538533                  234613070310   
6               -334855590                   19728921804   
7              10645235449                   27927386067   
8              44285199636                  -22857635027   
9              49785366777                  -25706997134   
10             -5533794987                  -24026306655   

    Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                   -22556730847                    -24495000   
1                      598139198                     -8250000   
2                  -139431223753                     24512525   
3                    34398044185                     96435164   
4                  -214038759907                   1919782287   
5                   234613070310                  -1471795375   
6                    19728921804                    144488793   
7                    27927386067                   -418652033   
8                   -22857635027                    721914064   
9                   -25706997134                   1032621344   
10                  -24026306655                    822336692   

    Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0              -3129222551                                  0   
1              -2887328933                                  0   
2              -3508052854                          -50801600   
3              -4166372867                        -1955167025   
4              -7360642774                         -580100000   
5              -4884141977                        -2932137236   
6              -5471740119                                  0   
7              -5864382402                        -1590054468   
8              -6868745814                        -1999031753   
9              -8291809025                          842165015   
10            -14494267679                                  0   

    Tiền thu khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                           0   
5                                           0   
6                                           0   
7                                           0   
8                                           0   
9                                     5959800   
10                                  252722135   

    Tiền chi khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                           0   
5                                           0   
6                                           0   
7                                  -274229000   
8                                           0   
9                                   -93601168   
10                                          0   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                    -25375366083   
1                                    -30641177505   
2                                     55032346222   
3                                      9963483887   
4                                     37002787439   
5                                    -49216788763   
6                                    -32306724791   
7                                     -4783394704   
8                                     14077078515   
9                                     22410584064   
10                                    32562437546   

    Tiền thu được từ thanh lý tài sản cố định  \
0                                    90909091   
1                                   300000000   
2                                           0   
3                                    90000000   
4                                   136363636   
5                                    20000000   
6                                   100000000   
7                                           0   
8                                           0   
9                                           0   
10                                 1987183993   

