     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
2          278554313308                                         3777096487     
3          263075553608                                         3185949719     
4          286506449165                                         3125541988     
5          281074532884                                         7017541516     
6          271521714886                                         2719438451     
7          230460693348                                         5016693281     
8          196506686076                                         3160409210     
9          153733201696                                         2558756491     
10         161938708680                                         2429100725     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   -0.309785           549032795           549032795   
1                   -0.094634           137458187           137458187   
2                    0.185548           295388814           295388814   
3                    0.019327           598621860           598621860   
4                   -0.554610           409152954           409152954   
5                    1.580511           399747687           399747687   
6                   -0.457922           287086083           287086083   
7                    0.587356           362955285           362955285   
8                    0.235135           396144563           396144563   
9                    0.053376           265095926           265095926   
10                   0.000000           339688280           339688280   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0            -2187103487           -2187103487     226618531105   
1            -1274536771           -1274536771     252808015165   
2             -863609908            -863609908     278415508762   
3             -525702494            -525702494     263033938976   
4             -714404101            -714404101     286372262894   
5             -650706368            -650706368     280946351065   
6             -967356691            -967356691     271521714886   
7             -611939888            -611939888     230460147894   
8             -380024056            -380024056     196506686076   
9             -307771171            -307771171     153733201696   
10            -252512940            -252512940     161922506862   

    Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0      226618531105  17469714552  17469714552        -2209722280   
1      252808015165  19623064135  19623064135        -1276029271   
2      278415508762  20309324830  20309324830         -863609908   
3      263033938976  19272697794  19272697794         -525702494   
4      286372262894  19707969773  19707969773         -715016430   
5      280946351065  23562772176  23562772176         -698479368   
6      271521714886  18322662448  18322662448         -967356691   
7      230460147894  16921132130  16921132130         -611939888   
8      196506686076  16011685889  16011685889         -380024056   
9      153733201696  11387516118  11387516118         -307771171   
10     161922506862  12462727735  12462727735         -252654062   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0         -2209722280         -4377138476         -4377138476   
1         -1276029271         -4602475137         -4602475137   
2          -863609908         -5028513271         -5028513271   
3          -525702494         -4351337009         -4351337009   
4          -715016430         -4852300655         -4852300655   
5          -698479368         -4725440774         -4725440774   
6          -967356691         -4081157924         -4081157924   
7          -611939888         -5134754084         -5134754084   
8          -380024056         -4370926741         -4370926741   
9          -307771171         -3777995158         -3777995158   
10         -252654062         -4466151048         -4466151048   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                       2632566745                      2632566745   
1                       3819289113                      3819289113   
2                       4159610148                      4159610148   
3                       3272508069                      3272508069   
4                       2529149558                      2529149558   
5                       6935231077                      6935231077   
6                       3177829384                      3177829384   
7                       2320442531                      2320442531   
8                       2952738257                      2952738257   
9                       -696448567                      -696448567   
