     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
0                   22323738628               737699501089   
1                    7292015579               592155882342   
2                   22808596138               926988409262   
3                   26551637569               794010218355   
4                   22850941533               659243598513   
5                   33728197848                93119184981   
6                   49849035763               116528678116   
7                   72336945024               168991233711   
8                  117307080896               198704848167   
9                   24916190495               176591836861   
10                  31991397701               262839584078   

    Phải thu dài hạn khác (Tỷ đồng)  Phải thu dài hạn (Tỷ đồng)  
0                       94386525696                 94386525696  
1                       99811419854                 99811419854  
2                      106874921833                106874921833  
3                      103934175951                103934175951  
4                      101070458353                101070458353  
5                      126882519625                126882519625  
6                      123303776766                123303776766  
7                      113631269175                113631269175  
8                      110281427798                110281427798  
9                                 0                           0  
10                                0                           0  
     CP   Năm  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0   THT  2023             90173888654                  -0.043129   
1   THT  2022             86549400670                   0.263909   
2   THT  2021             51488100173                   0.248845   
3   THT  2020             46317360230                   0.174717   
4   THT  2019             81437596986                  -0.131866   
5   THT  2018            100654500052                   0.367250   
6   THT  2017             35424701486                   0.061573   
7   THT  2016             30983266286                  -0.160554   
8   THT  2015             32208354043                  -0.024394   
9   THT  2014             51354559670                   0.245106   
10  THT  2013             38541008052                   0.000000   

    Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0         4344213085100                                        71355230626     
1         4540017540852                                        68567308884     
2         3592045565382                                        41159598117     
3         2876294906705                                        36436110621     
4         2448500943282                                        65212599634     
5         2820416888861                                        80639693744     
6         2062838442152                                        28754754680     
7         1943191293326                                        24409322116     
8         2314851016830                                        25608309172     
9         2372730860910                                        40621807426     
10        1905646284151                                        29959278895     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                    0.040660          2776820475          2776820475   
1                    0.665889          2859949878          2859949878   
2                    0.129638          3059275357          3059275357   
3                   -0.441272          2969346092          2969346092   
4                   -0.191309          3563632095          3563632095   
5                    1.804395          4480551319          4480551319   
6                    0.178023          3831920673          3831920673   
7                   -0.046820          3690451433          3690451433   
8                   -0.369592          1680864451          1680864451   
9                    0.355901           433399156           433399156   
10                   0.000000          1183289884          1183289884   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0           -11626337043          -11626337043    4344213085100   
1           -32716227639          -32716227639    4540017540852   
2           -68739153554          -68739153554    3592045565382   
3           -62957302567          -62957302567    2876294906705   
4           -18052901054          -18052901054    2448500943282   
5            -6117103952           -6117103952    2820416888861   
6            -9168788493           -9168788493    2062838442152   
7             -385112323            -385112323    1943191293326   
8            -6920198165           -6920198165    2314851016830   
9           -14074401527          -14074401527    2372730860910   
10          -31616607501          -31616607501    1905646284151   

    Doanh thu thuần       Lãi gộp       Lãi gộp  Chi phí tài chính  \
0     4344213085100  205931403351  205931403351       -11626337043   
1     4540017540852  203261134036  203261134036       -32716227639   
2     3592045565382  192289758394  192289758394       -68739153554   
3     2876294906705  177653207612  177653207612       -62957302567   
4     2448500943282  231650705277  231650705277       -18052901054   
5     2820416888861  160024753093  160024753093        -6117103952   
6     2062838442152  148314694586  148314694586        -9168788493   
7     1943191293326  160303671719  160303671719         -385112323   
8     2314851016830  183317460502  183317460502        -6920198165   
9     2372730860910  191721673774  191721673774       -14074401527   
10    1905646284151  266460904429  266460904429       -31625310273   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0        -11626337043        -99656045495        -99656045495   
1        -32716227639        -77926181940        -77926181940   
2        -68739153554        -71204984500        -71204984500   
3        -62957302567        -67665101178        -67665101178   
4        -18052901054       -139631241602       -139631241602   
5         -6117103952        -55558747478        -55558747478   
6         -9168788493       -107198197214       -107198197214   
7          -385112323       -124805054841       -124805054841   
8         -6920198165       -138982251277       -138982251277   
9        -14074401527       -130671297593       -130671297593   
10       -31625310273       -130172286061       -130172286061   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                      86265931644                     86265931644   
1                      86210250050                     86210250050   
2                      47912648192                     47912648192   
3                      45456812243                     45456812243   
4                      72022875587                     72022875587   
5                      96002958520                     96002958520   
6                      30243236923                     30243236923   
7                      28555315459                     28555315459   
8                      28240056516                     28240056516   
9                      36024712886                     36024712886   
10                     37525229992                     37525229992   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0             -5109011310    -4138281681749      -11159909644   
1             -3192604771    -4336756406816       -9268424285   
2             -2115586485    -3399755806988       -7492247505   
3             -2397189027    -2698641699093       -4543337716   
4             -1043850349    -2216850238005       -5507319129   
5             -1065311560    -2660392135768       -6826494462   
6             -1539529001    -1914523747566       -5536392629   
7             -1188191617    -1782887621607      -10248640529   
8             -1180571023    -2131533556328      -10855818995   
9            -10056093499    -2181009187136      -11384660924   
10           -11276663509    -1639185379722      -68321367987   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  Thu nhập khác  \
0       -11159909644                           4344213085100     9016968320   
1        -9268424285                           4540017540852     3531755391   
2        -7492247505                           3592045565382     5691038466   
3        -4543337716                           2876294906705     3257737014   
4        -5507319129                           2448500943282    10458571748   
5        -6826494462                           2820416888861     5716853092   
6        -5536392629                           2062838442152     6720993564   
7       -10248640529                           1943191293326     3616142444   
8       -10855818995                           2314851016830     5148868550   
9       -11384660924                           2372730860910    25385940283   
10      -68321367987                           1905646284151    12292441569   

    Lợi nhuận khác  LN trước thuế    Thuế TNDN  Chi phí thuế TNDN hiện hành  \
0       3907957010    90173888654 -18818658028                 -33081971579   
1        339150620    86549400670 -17982091786                 -34306323313   
2       3575451981    51488100173 -10328502056                 -33023184500   
3        860547987    46317360230  -9881249609                 -17854279752   
4       9414721399    81437596986 -16224997352                 -16224997352   
5       4651541532   100654500052 -20014806308                 -20014806308   
