     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
1          995451464436                                        27261706297     
2         1026871148582                                        28112069423     
3          915179323483                                        27668889439     
4          990051071610                                        28478343137     
5          935169447077                                        27877520149     
6          763387201110                                        26811349918     
7          700071028123                                        26435571637     
8          662821336420                                        25490659710     
9          609524874572                                        21455539958     
10         653205403062                                        22256051383     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                    0.029629          2853102965          2853102965   
1                   -0.030249          4544145083          4544145083   
2                    0.016017          2721438856          2721438856   
3                   -0.028423          2209025016          2209025016   
4                    0.021552           848289630           848289630   
5                    0.039766           470645344           470645344   
6                    0.014215           339595601           339595601   
7                    0.037069           200604758           200604758   
8                    0.188069           465219753           465219753   
9                   -0.035968            96913250            96913250   
10                   0.000000           297503608           297503608   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0           -10712391230          -10712391230     874543513001   
1           -11288076210          -11288076210     994516729296   
2           -10907641077          -10907641077    1026871148582   
3           -11619350150          -11619350150     914981111210   
4           -14171157640          -14171157640     989721891610   
5           -13591100066          -13591100066     931451763872   
6           -12779621452          -12779621452     763322374110   
7            -9994710378           -9994710378     700071028123   
8            -9182695014           -9182695014     662812336420   
9           -12146893544          -12146893544     609524874572   
10          -12226526542          -12226526542     653178570335   

    Doanh thu thuần      Lãi gộp      Lãi gộp  Chi phí tài chính  \
0      874543513001  86455656858  86455656858       -12272320805   
1      994516729296  92613756897  92613756897       -13984261231   
2     1026871148582  86472542563  86472542563       -12385842770   
3      914981111210  85154823771  85154823771       -13856391547   
4      989721891610  88022279663  88022279663       -15255563472   
5      931451763872  87868839375  87868839375       -16617146285   
6      763322374110  80408492396  80408492396       -13091217540   
7      700071028123  78108678493  78108678493       -10081266926   
8      662812336420  71212642137  71212642137        -9458290527   
9      609524874572  71613391904  71613391904       -12821673427   
10     653178570335  75337442091  75337442091       -14022644405   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0        -12272320805        -18989251169        -18989251169   
1        -13984261231        -18524153559        -18524153559   
2        -12385842770        -17832407486        -17832407486   
3        -13856391547        -17212248444        -17212248444   
4        -15255563472        -16560402190        -16560402190   
5        -16617146285        -16009592880        -16009592880   
6        -13091217540        -15745578413        -15745578413   
7        -10081266926        -16475002590        -16475002590   
8         -9458290527        -10887683941        -10887683941   
9        -12821673427        -10666842060        -10666842060   
10       -14022644405        -10938007531        -10938007531   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                      35554671252                     35554671252   
1                      35547829325                     35547829325   
2                      35516505975                     35516505975   
3                      35554238413                     35554238413   
4                      35778342891                     35778342891   
5                      35472744709                     35472744709   
6                      34154753470                     34154753470   
7                      33405273078                     33405273078   
8                      33253190428                     33253190428   
9                      27864997048                     27864997048   
10                     30733113608                     30733113608   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0              -312108771     -788087856143      -22492516597   
1              -274328161     -901902972399      -29101657865   
2              -300277574     -940398606019      -23459225188   
3             -1080910965     -829826287439      -20740970383   
4              -487402109     -901699611947      -21276260740   
5              -714160771     -843582924497      -20240000845   
6              -339472566     -682913881714      -17756538574   
7              -183956475     -621962349630      -18347740657   
8              -407548781     -591599694283      -18078696994   
